Borough,Neighborhood,Season,Day_of_Week,Time_Bucket,Avg_Complaints_Per_Week,Std_Complaints,Num_Weeks
BRONX,Central Bronx,Spring,4,morning,5.325842696629214,3.1253191869677903,89
BRONX,Central Bronx,Spring,4,night,31.032967032967033,22.716342892997424,91
BRONX,Central Bronx,Spring,4,overnight,5.523255813953488,5.416156102073189,86
BRONX,Central Bronx,Spring,5,afternoon,16.944444444444443,8.441951304214069,90
BRONX,Central Bronx,Spring,5,evening,32.18888888888889,24.352234719430005,90
BRONX,Central Bronx,Spring,5,morning,7.5777777777777775,3.7355798484298277,90
BRONX,Central Bronx,Spring,5,night,45.44444444444444,32.31311387563222,90
BRONX,Central Bronx,Spring,5,overnight,11.811111111111112,8.375854066053813,90
BRONX,Central Bronx,Spring,6,afternoon,20.681318681318682,10.70189923007347,91
BRONX,Central Bronx,Spring,6,evening,41.472527472527474,35.52756071288275,91
BRONX,Central Bronx,Spring,6,morning,9.835164835164836,6.121480823504021,91
BRONX,Central Bronx,Spring,6,night,56.30769230769231,54.61271571665996,91
BRONX,Central Bronx,Spring,6,overnight,19.956043956043956,18.917899864597427,91
BRONX,Central Bronx,Summer,0,afternoon,9.73076923076923,5.095638769137238,78
BRONX,Central Bronx,Summer,0,evening,22.835443037974684,11.935113439512062,79
BRONX,Central Bronx,Summer,0,morning,7.063291139240507,5.447515952723486,79
BRONX,Central Bronx,Summer,0,night,65.73417721518987,42.135224578443676,79
BRONX,Central Bronx,Summer,0,overnight,24.253164556962027,21.3177838089201,79
BRONX,Central Bronx,Summer,1,afternoon,10.151898734177216,3.886494061770565,79
BRONX,Central Bronx,Summer,1,evening,29.164556962025316,18.744866223504996,79
BRONX,Central Bronx,Summer,1,morning,4.381578947368421,2.337902793891186,76
BRONX,Central Bronx,Summer,1,night,37.88607594936709,29.138038994683505,79
BRONX,Central Bronx,Summer,1,overnight,7.635135135135135,9.261164050513816,74
BRONX,Central Bronx,Summer,2,afternoon,9.632911392405063,4.785601307742154,79
BRONX,Central Bronx,Summer,2,evening,25.759493670886076,12.914129798724066,79
BRONX,Central Bronx,Summer,2,morning,4.448717948717949,2.46875243690788,78
BRONX,Central Bronx,Summer,2,night,38.9746835443038,26.956743451811402,79
BRONX,Central Bronx,Summer,2,overnight,8.166666666666666,9.286796473735642,78
BRONX,Central Bronx,Summer,3,afternoon,9.60759493670886,5.157562835092051,79
BRONX,Central Bronx,Summer,3,evening,29.455696202531644,16.715413943158545,79
BRONX,Central Bronx,Summer,3,morning,4.87012987012987,3.298128054991551,77
BRONX,Central Bronx,Summer,3,night,42.075949367088604,29.007855767059585,79
BRONX,Central Bronx,Summer,3,overnight,6.909090909090909,6.483139708387355,77
BRONX,Central Bronx,Summer,4,afternoon,11.538461538461538,6.553857410185772,78
BRONX,Central Bronx,Summer,4,evening,40.205128205128204,16.53045907578121,78
BRONX,Central Bronx,Summer,4,morning,5.315789473684211,3.5822172884617687,76
BRONX,Central Bronx,Summer,4,night,65.11538461538461,36.03929340776078,78
BRONX,Central Bronx,Summer,4,overnight,10.5,13.922164582659791,76
BRONX,Central Bronx,Summer,5,afternoon,18.27848101265823,6.911411427451461,79
BRONX,Central Bronx,Summer,5,evening,55.81012658227848,20.647888045826917,79
BRONX,Central Bronx,Summer,5,morning,9.848101265822784,5.294139497147273,79
BRONX,Central Bronx,Summer,5,night,113.41772151898734,51.38008383853404,79
BRONX,Central Bronx,Summer,5,overnight,30.531645569620252,28.426168624033725,79
BRONX,Central Bronx,Summer,6,afternoon,25.924050632911392,12.030700207576567,79
BRONX,Central Bronx,Summer,6,evening,81.9113924050633,40.248009943929006,79
BRONX,Central Bronx,Summer,6,morning,15.632911392405063,9.260028818681791,79
BRONX,Central Bronx,Summer,6,night,143.86075949367088,73.40714249067688,79
BRONX,Central Bronx,Summer,6,overnight,54.24050632911393,36.041719127825495,79
BRONX,Central Bronx,Winter,0,afternoon,8.035714285714286,3.819564185608907,84
BRONX,Central Bronx,Winter,0,evening,11.0,4.955221172406924,84
BRONX,Central Bronx,Winter,0,morning,5.457831325301205,3.0012241600731464,83
BRONX,Central Bronx,Winter,0,night,12.904761904761905,6.0849786361883496,84
BRONX,Central Bronx,Winter,0,overnight,4.75,4.001581965654096,80
BRONX,Central Bronx,Winter,1,afternoon,7.738095238095238,4.009383714980765,84
BRONX,Central Bronx,Winter,1,evening,10.607142857142858,4.477568878720159,84
BRONX,Central Bronx,Winter,1,morning,4.575,2.2262814543368163,80
BRONX,Central Bronx,Winter,1,night,12.226190476190476,5.114004373714012,84
BRONX,Central Bronx,Winter,1,overnight,3.0533333333333332,1.7925772879665005,75
BRONX,Central Bronx,Winter,2,afternoon,8.505882352941176,4.539833040279505,85
BRONX,Central Bronx,Winter,2,evening,11.364705882352942,5.364892620466104,85
BRONX,Central Bronx,Winter,2,morning,5.048780487804878,3.731422920676227,82
BRONX,Central Bronx,Winter,2,night,12.2,7.065678277689235,85
BRONX,Central Bronx,Winter,2,overnight,4.371794871794871,6.16042875544247,78
BRONX,Central Bronx,Winter,3,afternoon,8.25287356321839,3.971463296618262,87
BRONX,Central Bronx,Winter,3,evening,11.057471264367816,5.026340667711013,87
BRONX,Central Bronx,Winter,3,morning,5.188235294117647,2.909320480501127,85
BRONX,Central Bronx,Winter,3,night,12.64367816091954,6.171911263085465,87
BRONX,Central Bronx,Winter,3,overnight,4.1,4.274149556388937,80
BRONX,Central Bronx,Winter,4,afternoon,9.430232558139535,4.976511174979134,86
BRONX,Central Bronx,Winter,4,evening,13.022988505747126,5.187141999962343,87
BRONX,Central Bronx,Winter,4,morning,5.337349397590361,3.0931754479890596,83
BRONX,Central Bronx,Winter,4,night,15.862068965517242,5.122164363101824,87
BRONX,Central Bronx,Winter,4,overnight,3.7790697674418605,3.2409191244993805,86
BRONX,Central Bronx,Winter,5,afternoon,12.223529411764705,4.904751026612179,85
BRONX,Central Bronx,Winter,5,evening,14.788235294117648,5.859656494171981,85
BRONX,Central Bronx,Winter,5,morning,6.678571428571429,3.2971718961723515,84
BRONX,Central Bronx,Winter,5,night,22.647058823529413,7.8599434784605045,85
BRONX,Central Bronx,Winter,5,overnight,7.7176470588235295,4.3850714407653895,85
BRONX,Central Bronx,Winter,6,afternoon,13.964285714285714,6.498278601664728,84
BRONX,Central Bronx,Winter,6,evening,13.452380952380953,7.112528843661864,84
BRONX,Central Bronx,Winter,6,morning,7.559523809523809,3.856933017389736,84
BRONX,Central Bronx,Winter,6,night,23.0,7.710109151790921,84
BRONX,Central Bronx,Winter,6,overnight,12.488095238095237,5.693991861262326,84
